comment_id,task_id,user_id,body,created_at
163,1444,120,Comment 163: investigating issue 163.,2025-04-18 23:55:06
164,4559,226,Comment 164: investigating issue 164.,2025-07-18 13:11:33
165,691,156,Comment 165: investigating issue 165.,2025-04-26 11:20:25
166,2090,115,Comment 166: investigating issue 166.,2025-02-24 01:25:13
167,3615,119,Comment 167: investigating issue 167.,2025-06-23 00:19:20
168,304,32,Comment 168: investigating issue 168.,2025-05-16 09:04:02
169,3592,174,Comment 169: investigating issue 169.,2025-02-22 14:34:21
170,3833,157,Comment 170: investigating issue 170.,2025-08-12 12:50:27
171,3215,111,Comment 171: investigating issue 171.,2024-11-22 22:12:39
172,4331,112,Comment 172: investigating issue 172.,2025-03-19 14:52:46
173,1473,294,Comment 173: investigating issue 173.,2024-09-15 01:39:05
174,107,82,Comment 174: investigating issue 174.,2025-04-12 08:59:51
175,4864,85,Comment 175: investigating issue 175.,2025-09-16 00:47:30
176,4401,176,Comment 176: investigating issue 176.,2025-01-02 14:40:59
177,1661,152,Comment 177: investigating issue 177.,2025-07-09 21:48:36
178,643,163,Comment 178: investigating issue 178.,2024-10-26 12:15:13
179,1308,58,Comment 179: investigating issue 179.,2025-07-30 21:12:10
180,4030,207,Comment 180: investigating issue 180.,2024-09-06 03:07:16
181,4285,210,Comment 181: investigating issue 181.,2024-10-06 23:05:49
182,727,11,Comment 182: investigating issue 182.,2025-06-23 06:52:47
183,3500,163,Comment 183: investigating issue 183.,2025-08-14 20:37:04
184,4113,82,Comment 184: investigating issue 184.,2025-05-01 17:35:28
185,1061,190,Comment 185: investigating issue 185.,2025-07-27 00:50:32
186,2954,283,Comment 186: investigating issue 186.,2024-12-13 04:53:58
187,4724,112,Comment 187: investigating issue 187.,2025-05-16 15:42:39
188,2053,22,Comment 188: investigating issue 188.,2025-04-24 01:13:17
189,2414,173,Comment 189: investigating issue 189.,2024-09-16 09:48:29
190,1906,295,Comment 190: investigating issue 190.,2025-07-09 20:04:35
191,1587,270,Comment 191: investigating issue 191.,2025-02-03 18:46:36
192,2079,194,Comment 192: investigating issue 192.,2025-07-02 13:48:06
193,4938,12,Comment 193: investigating issue 193.,2024-12-04 15:59:20
194,2110,151,Comment 194: investigating issue 194.,2025-07-03 13:05:38
195,357,71,Comment 195: investigating issue 195.,2025-07-13 17:45:04
196,2710,116,Comment 196: investigating issue 196.,2025-01-22 23:48:13
197,4554,115,Comment 197: investigating issue 197.,2024-11-01 05:00:38
198,2823,104,Comment 198: investigating issue 198.,2024-09-19 19:46:22
199,3928,9,Comment 199: investigating issue 199.,2025-08-30 19:04:10
200,4923,54,Comment 200: investigating issue 0.,2024-10-05 13:58:00
201,2388,270,Comment 201: investigating issue 1.,2025-09-23 00:20:48
202,4231,218,Comment 202: investigating issue 2.,2024-09-20 09:06:16
203,621,184,Comment 203: investigating issue 3.,2024-10-20 20:35:40
204,4224,116,Comment 204: investigating issue 4.,2025-03-07 01:16:20
205,2271,164,Comment 205: investigating issue 5.,2024-10-27 07:46:26
206,1470,271,Comment 206: investigating issue 6.,2024-12-27 07:38:49
207,4939,129,Comment 207: investigating issue 7.,2025-05-30 04:24:06
208,2240,45,Comment 208: investigating issue 8.,2025-02-11 17:47:50
209,1633,255,Comment 209: investigating issue 9.,2024-11-25 12:53:51
210,2493,252,Comment 210: investigating issue 10.,2025-04-29 12:07:57
211,1186,180,Comment 211: investigating issue 11.,2024-09-20 23:16:47
212,3751,158,Comment 212: investigating issue 12.,2025-02-22 08:01:58
213,4312,69,Comment 213: investigating issue 13.,2024-10-08 04:54:21
214,1639,183,Comment 214: investigating issue 14.,2024-10-18 21:09:22
215,455,227,Comment 215: investigating issue 15.,2025-07-31 21:31:00
216,3664,229,Comment 216: investigating issue 16.,2025-05-19 05:11:14
217,2737,1,Comment 217: investigating issue 17.,2024-09-29 11:03:18
218,2629,98,Comment 218: investigating issue 18.,2025-05-08 03:23:38
219,3967,197,Comment 219: investigating issue 19.,2024-10-18 22:37:45
220,1802,201,Comment 220: investigating issue 20.,2025-08-19 22:56:17
221,1712,112,Comment 221: investigating issue 21.,2025-07-01 19:07:41
222,557,138,Comment 222: investigating issue 22.,2025-01-21 00:22:04
223,2075,242,Comment 223: investigating issue 23.,2025-04-08 17:56:30
224,693,183,Comment 224: investigating issue 24.,2024-11-13 23:11:19
225,3560,115,Comment 225: investigating issue 25.,2024-12-27 23:44:38
226,2589,224,Comment 226: investigating issue 26.,2025-07-22 12:42:21
227,528,141,Comment 227: investigating issue 27.,2025-01-01 23:40:07
228,2167,124,Comment 228: investigating issue 28.,2025-07-23 04:13:09
229,2472,280,Comment 229: investigating issue 29.,2025-05-26 06:27:08
230,616,228,Comment 230: investigating issue 30.,2025-01-06 09:54:05
231,3684,186,Comment 231: investigating issue 31.,2025-09-22 10:38:58
232,3884,104,Comment 232: investigating issue 32.,2024-10-19 08:23:56
233,3169,35,Comment 233: investigating issue 33.,2025-03-23 21:29:56
234,3204,16,Comment 234: investigating issue 34.,2024-11-03 18:28:41
235,4036,131,Comment 235: investigating issue 35.,2024-11-08 09:19:11
236,4879,194,Comment 236: investigating issue 36.,2025-04-28 17:38:34
237,211,31,Comment 237: investigating issue 37.,2024-10-20 07:18:26
238,4819,80,Comment 238: investigating issue 38.,2025-05-14 21:56:20
239,3378,262,Comment 239: investigating issue 39.,2025-02-06 17:01:02
240,2704,219,Comment 240: investigating issue 40.,2024-12-09 19:01:55
241,3655,267,Comment 241: investigating issue 41.,2025-03-15 07:57:29
242,4562,243,Comment 242: investigating issue 42.,2025-09-08 13:24:19
243,3921,196,Comment 243: investigating issue 43.,2025-05-15 18:04:51
244,2136,1,Comment 244: investigating issue 44.,2024-12-15 17:51:51
245,1839,153,Comment 245: investigating issue 45.,2025-09-03 12:36:18
246,995,145,Comment 246: investigating issue 46.,2025-05-28 05:34:22
247,938,99,Comment 247: investigating issue 47.,2025-08-19 11:03:38
248,2233,4,Comment 248: investigating issue 48.,2024-12-10 19:28:59
249,4356,84,Comment 249: investigating issue 49.,2025-07-24 09:35:11
250,2917,221,Comment 250: investigating issue 50.,2025-05-26 02:56:50
251,1482,292,Comment 251: investigating issue 51.,2025-02-22 15:04:56
252,3084,246,Comment 252: investigating issue 52.,2025-06-10 17:50:02
253,3183,92,Comment 253: investigating issue 53.,2025-08-21 10:59:41
254,3030,129,Comment 254: investigating issue 54.,2025-05-25 12:18:47
255,2118,8,Comment 255: investigating issue 55.,2025-03-03 15:34:01
256,2499,300,Comment 256: investigating issue 56.,2025-03-13 07:24:22
257,4957,230,Comment 257: investigating issue 57.,2025-06-10 04:51:15
258,2933,169,Comment 258: investigating issue 58.,2025-03-05 14:07:38
259,3272,153,Comment 259: investigating issue 59.,2025-01-12 06:35:34
260,1485,26,Comment 260: investigating issue 60.,2025-03-25 02:47:32
261,3589,18,Comment 261: investigating issue 61.,2025-05-18 05:54:13
262,2106,134,Comment 262: investigating issue 62.,2025-09-21 23:50:32
263,3259,184,Comment 263: investigating issue 63.,2025-02-05 15:29:57
264,5000,6,Comment 264: investigating issue 64.,2024-10-25 11:27:39
265,4606,240,Comment 265: investigating issue 65.,2025-06-28 17:17:28
266,4970,85,Comment 266: investigating issue 66.,2025-08-15 05:51:35
267,512,140,Comment 267: investigating issue 67.,2025-03-08 00:33:08
268,4190,277,Comment 268: investigating issue 68.,2025-05-17 19:59:06
269,1203,266,Comment 269: investigating issue 69.,2025-08-18 17:09:48
270,515,181,Comment 270: investigating issue 70.,2025-03-02 20:31:38
271,2224,137,Comment 271: investigating issue 71.,2025-02-24 03:35:25
272,202,68,Comment 272: investigating issue 72.,2025-08-30 16:19:31
273,1967,282,Comment 273: investigating issue 73.,2025-05-07 13:08:51
274,2546,139,Comment 274: investigating issue 74.,2025-01-17 21:21:00
275,2297,32,Comment 275: investigating issue 75.,2025-01-01 15:42:33
276,2127,275,Comment 276: investigating issue 76.,2024-09-08 08:47:33
277,2471,218,Comment 277: investigating issue 77.,2025-06-28 20:00:09
278,4571,24,Comment 278: investigating issue 78.,2025-08-19 05:00:27
279,3282,103,Comment 279: investigating issue 79.,2025-03-19 15:08:37
280,1427,250,Comment 280: investigating issue 80.,2025-01-09 04:54:36
281,2518,225,Comment 281: investigating issue 81.,2025-08-30 01:26:23
282,849,58,Comment 282: investigating issue 82.,2025-06-02 04:55:22
283,3649,282,Comment 283: investigating issue 83.,2025-08-22 21:04:53
284,1586,246,Comment 284: investigating issue 84.,2024-11-07 16:38:39
285,2797,209,Comment 285: investigating issue 85.,2024-12-06 20:00:19
286,3307,81,Comment 286: investigating issue 86.,2024-10-23 01:57:41
287,4005,109,Comment 287: investigating issue 87.,2025-06-23 06:43:12
288,3881,44,Comment 288: investigating issue 88.,2025-03-03 18:57:38
289,4322,254,Comment 289: investigating issue 89.,2025-02-03 00:08:25
290,517,150,Comment 290: investigating issue 90.,2024-09-18 04:29:43
291,1766,39,Comment 291: investigating issue 91.,2024-12-02 18:34:51
292,3259,218,Comment 292: investigating issue 92.,2025-07-22 06:08:42
293,986,218,Comment 293: investigating issue 93.,2025-01-12 08:33:43
294,2546,204,Comment 294: investigating issue 94.,2025-08-03 19:56:13
295,3929,202,Comment 295: investigating issue 95.,2025-01-14 10:27:30
296,623,258,Comment 296: investigating issue 96.,2024-12-19 06:40:54
297,1476,160,Comment 297: investigating issue 97.,2025-08-29 08:31:44
298,4666,93,Comment 298: investigating issue 98.,2024-12-09 10:43:49
299,2111,253,Comment 299: investigating issue 99.,2025-07-14 01:03:38
300,4523,217,Comment 300: investigating issue 100.,2025-08-10 08:08:36
301,348,234,Comment 301: investigating issue 101.,2024-11-21 05:25:43
302,3215,227,Comment 302: investigating issue 102.,2024-11-13 01:44:09
303,2193,266,Comment 303: investigating issue 103.,2025-06-08 16:39:44
304,3771,73,Comment 304: investigating issue 104.,2025-05-20 00:34:27
305,3737,275,Comment 305: investigating issue 105.,2025-06-17 11:13:15
306,1414,99,Comment 306: investigating issue 106.,2025-05-05 15:04:07
307,1240,258,Comment 307: investigating issue 107.,2024-10-15 10:57:39
308,213,97,Comment 308: investigating issue 108.,2025-04-17 15:49:12
309,575,115,Comment 309: investigating issue 109.,2025-08-11 12:24:37
310,1960,129,Comment 310: investigating issue 110.,2025-05-25 13:35:38
311,2207,66,Comment 311: investigating issue 111.,2025-04-12 17:13:01
312,3919,50,Comment 312: investigating issue 112.,2024-10-23 11:26:28
313,2834,162,Comment 313: investigating issue 113.,2025-01-24 20:12:41
314,1481,34,Comment 314: investigating issue 114.,2024-11-29 14:15:52
315,4635,171,Comment 315: investigating issue 115.,2024-11-07 01:07:56
316,3643,48,Comment 316: investigating issue 116.,2024-09-04 02:35:23
317,3695,14,Comment 317: investigating issue 117.,2025-08-06 07:39:56
318,3738,242,Comment 318: investigating issue 118.,2025-07-31 14:42:48
319,4963,102,Comment 319: investigating issue 119.,2024-12-02 11:09:05
320,1717,50,Comment 320: investigating issue 120.,2025-07-03 11:06:58
321,2440,161,Comment 321: investigating issue 121.,2025-03-10 23:14:23
322,4535,101,Comment 322: investigating issue 122.,2025-01-30 15:31:09
323,3279,152,Comment 323: investigating issue 123.,2025-01-05 22:30:50
324,2858,166,Comment 324: investigating issue 124.,2024-09-08 22:00:12
325,1827,185,Comment 325: investigating issue 125.,2025-03-11 18:35:55
326,1992,90,Comment 326: investigating issue 126.,2024-11-10 09:18:23
327,271,52,Comment 327: investigating issue 127.,2025-01-05 06:33:24
328,2764,154,Comment 328: investigating issue 128.,2025-07-13 00:26:03
329,3696,168,Comment 329: investigating issue 129.,2024-10-26 05:07:49
330,2394,297,Comment 330: investigating issue 130.,2025-06-07 19:22:32
331,4677,230,Comment 331: investigating issue 131.,2025-09-03 14:58:43
332,347,120,Comment 332: investigating issue 132.,2024-11-15 15:04:26
333,3933,1,Comment 333: investigating issue 133.,2025-06-09 12:34:30
334,3512,273,Comment 334: investigating issue 134.,2024-12-09 10:30:03
335,3029,283,Comment 335: investigating issue 135.,2025-02-01 23:41:17
336,1529,22,Comment 336: investigating issue 136.,2024-10-24 15:10:14
337,2178,111,Comment 337: investigating issue 137.,2025-05-16 17:41:48
338,2512,190,Comment 338: investigating issue 138.,2025-07-01 06:06:08
339,1581,203,Comment 339: investigating issue 139.,2025-09-03 07:34:39
340,4181,264,Comment 340: investigating issue 140.,2025-02-28 14:36:06
341,3580,257,Comment 341: investigating issue 141.,2025-08-05 09:13:30
342,1928,215,Comment 342: investigating issue 142.,2025-04-23 20:41:09
343,2556,159,Comment 343: investigating issue 143.,2024-12-02 13:03:13
344,249,207,Comment 344: investigating issue 144.,2025-01-31 06:52:37
345,1084,212,Comment 345: investigating issue 145.,2025-08-16 22:47:25
346,1581,290,Comment 346: investigating issue 146.,2024-12-20 01:20:02
347,223,194,Comment 347: investigating issue 147.,2024-09-20 11:47:18
348,2251,72,Comment 348: investigating issue 148.,2025-04-19 09:04:27
349,1203,72,Comment 349: investigating issue 149.,2024-10-31 22:18:41
350,734,90,Comment 350: investigating issue 150.,2025-03-28 11:55:46
351,3661,135,Comment 351: investigating issue 151.,2025-02-14 15:34:35
352,2796,26,Comment 352: investigating issue 152.,2025-08-03 06:37:30
353,4933,248,Comment 353: investigating issue 153.,2025-01-12 06:06:11
354,490,295,Comment 354: investigating issue 154.,2025-02-10 10:20:25
355,4118,246,Comment 355: investigating issue 155.,2024-12-15 23:54:11
356,973,49,Comment 356: investigating issue 156.,2024-12-19 02:44:08
357,152,111,Comment 357: investigating issue 157.,2024-12-28 21:59:00
358,4851,259,Comment 358: investigating issue 158.,2025-01-29 17:15:47
359,4813,21,Comment 359: investigating issue 159.,2024-11-23 01:19:02
360,3024,2,Comment 360: investigating issue 160.,2025-06-15 02:21:03
361,2863,153,Comment 361: investigating issue 161.,2025-09-18 06:16:42
362,3489,41,Comment 362: investigating issue 162.,2025-08-06 03:46:58
363,4578,32,Comment 363: investigating issue 163.,2025-07-01 04:09:21
364,4202,18,Comment 364: investigating issue 164.,2025-03-06 01:42:47
365,313,159,Comment 365: investigating issue 165.,2024-09-26 12:54:49
366,51,168,Comment 366: investigating issue 166.,2025-03-31 09:32:33
367,3441,267,Comment 367: investigating issue 167.,2024-09-15 18:34:13
368,650,103,Comment 368: investigating issue 168.,2024-12-03 15:47:26
369,2247,109,Comment 369: investigating issue 169.,2025-03-08 05:15:27
370,3411,1,Comment 370: investigating issue 170.,2025-06-07 11:11:29
371,4044,135,Comment 371: investigating issue 171.,2025-02-01 20:56:57
372,1522,53,Comment 372: investigating issue 172.,2024-11-25 06:47:44
373,981,177,Comment 373: investigating issue 173.,2025-03-28 06:29:24
374,4705,171,Comment 374: investigating issue 174.,2024-12-12 15:02:54
375,4735,42,Comment 375: investigating issue 175.,2025-09-05 18:14:45
376,4877,56,Comment 376: investigating issue 176.,2025-06-23 22:24:26
377,387,35,Comment 377: investigating issue 177.,2025-03-04 02:21:00
378,3108,150,Comment 378: investigating issue 178.,2024-10-23 16:36:53
379,4015,214,Comment 379: investigating issue 179.,2025-05-06 19:53:32
380,4662,66,Comment 380: investigating issue 180.,2024-09-16 15:30:56
381,3020,294,Comment 381: investigating issue 181.,2025-04-25 16:06:12
382,4441,105,Comment 382: investigating issue 182.,2025-07-08 16:26:46
383,206,292,Comment 383: investigating issue 183.,2024-09-23 19:30:59
384,611,216,Comment 384: investigating issue 184.,2024-09-13 04:03:56
385,880,43,Comment 385: investigating issue 185.,2025-05-24 22:51:25
386,1776,214,Comment 386: investigating issue 186.,2024-09-16 15:03:48
387,3154,150,Comment 387: investigating issue 187.,2025-02-12 21:19:36
388,4985,154,Comment 388: investigating issue 188.,2025-06-12 06:37:34
389,1603,137,Comment 389: investigating issue 189.,2025-09-20 11:02:08
390,1701,65,Comment 390: investigating issue 190.,2024-10-18 07:12:00
391,25,299,Comment 391: investigating issue 191.,2025-07-21 05:11:58
392,274,60,Comment 392: investigating issue 192.,2025-06-18 06:04:21
393,1610,172,Comment 393: investigating issue 193.,2025-02-06 02:11:48
394,238,184,Comment 394: investigating issue 194.,2025-02-20 19:58:06
395,1467,177,Comment 395: investigating issue 195.,2025-08-04 04:38:47
396,1416,158,Comment 396: investigating issue 196.,2024-09-16 03:47:11
397,2462,254,Comment 397: investigating issue 197.,2024-10-06 04:13:00
398,2169,211,Comment 398: investigating issue 198.,2025-04-05 04:50:02
399,4517,170,Comment 399: investigating issue 199.,2025-05-11 06:19:08
400,2919,50,Comment 400: investigating issue 0.,2025-07-13 19:31:38
401,4671,108,Comment 401: investigating issue 1.,2025-01-07 04:55:14
