task_id,project_id,title,description,priority,status,estimate_points,creator_user_id,created_at,updated_at,due_date
14,18,Task 14 for project 18,Implement feature 14 and write tests.,LOW,IN_PROGRESS,3,179,2024-11-03 18:10:19,2024-12-23 18:10:19,2024-12-08 18:10:19
15,68,Task 15 for project 68,Implement feature 15 and write tests.,HIGH,OPEN,2,66,2025-01-23 13:56:09,2025-01-25 13:56:09,
16,39,Task 16 for project 39,Implement feature 16 and write tests.,MEDIUM,REVIEW,3,238,2025-06-29 01:00:32,2025-07-28 01:00:32,2025-08-21 01:00:32
17,32,Task 17 for project 32,Implement feature 17 and write tests.,LOW,BLOCKED,13,236,2025-04-29 11:34:28,2025-05-13 11:34:28,2025-05-12 11:34:28
18,5,Task 18 for project 5,Implement feature 18 and write tests.,HIGH,DONE,8,215,2024-08-15 18:20:53,2024-08-27 18:20:53,2024-08-20 18:20:53
19,77,Task 19 for project 77,Implement feature 19 and write tests.,HIGH,REVIEW,1,18,2025-07-16 08:57:14,2025-07-22 08:57:14,2025-08-31 08:57:14
20,32,Task 20 for project 32,Implement feature 20 and write tests.,LOW,OPEN,2,23,2025-06-12 01:27:32,2025-07-09 01:27:32,2025-07-17 01:27:32
21,97,Task 21 for project 97,Implement feature 21 and write tests.,MEDIUM,IN_PROGRESS,8,29,2024-11-20 11:00:21,2024-12-19 11:00:21,2024-12-09 11:00:21
22,94,Task 22 for project 94,Implement feature 22 and write tests.,MEDIUM,IN_PROGRESS,3,295,2025-04-08 07:29:06,2025-07-03 07:29:06,2025-05-28 07:29:06
23,42,Task 23 for project 42,Implement feature 23 and write tests.,HIGH,OPEN,1,122,2025-03-25 23:59:10,2025-06-17 23:59:10,
24,67,Task 24 for project 67,Implement feature 24 and write tests.,HIGH,CANCELLED,2,114,2025-06-20 20:00:37,2025-08-30 20:00:37,2025-06-24 20:00:37
25,76,Task 25 for project 76,Implement feature 25 and write tests.,HIGH,OPEN,5,90,2025-07-01 10:17:07,2025-08-14 10:17:07,2025-07-05 10:17:07
26,83,Task 26 for project 83,Implement feature 26 and write tests.,HIGH,DONE,1,196,2025-09-14 23:23:22,2025-09-27 14:41:22,2025-10-11 23:23:22
27,20,Task 27 for project 20,Implement feature 27 and write tests.,LOW,IN_PROGRESS,8,154,2025-05-23 00:24:57,2025-07-22 00:24:57,2025-06-27 00:24:57
28,31,Task 28 for project 31,Implement feature 28 and write tests.,MEDIUM,REVIEW,1,116,2025-03-25 04:49:21,2025-04-12 04:49:21,
29,60,Task 29 for project 60,Implement feature 29 and write tests.,MEDIUM,IN_PROGRESS,5,30,2025-06-20 03:33:19,2025-08-30 03:33:19,
30,68,Task 30 for project 68,Implement feature 30 and write tests.,HIGH,REVIEW,3,69,2025-06-01 07:20:43,2025-07-13 07:20:43,2025-06-15 07:20:43
31,83,Task 31 for project 83,Implement feature 31 and write tests.,HIGH,OPEN,5,41,2025-07-18 23:19:24,2025-07-29 23:19:24,
32,69,Task 32 for project 69,Implement feature 32 and write tests.,HIGH,REVIEW,3,98,2024-09-12 15:24:06,2024-11-28 15:24:06,2024-10-26 15:24:06
33,78,Task 33 for project 78,Implement feature 33 and write tests.,MEDIUM,BLOCKED,1,21,2024-09-29 03:29:15,2024-12-13 03:29:15,2024-11-17 03:29:15
34,93,Task 34 for project 93,Implement feature 34 and write tests.,LOW,OPEN,5,287,2025-01-19 04:10:14,2025-03-02 04:10:14,2025-03-16 04:10:14
35,39,Task 35 for project 39,Implement feature 35 and write tests.,MEDIUM,IN_PROGRESS,8,8,2025-01-15 03:04:20,2025-01-30 03:04:20,
36,96,Task 36 for project 96,Implement feature 36 and write tests.,MEDIUM,IN_PROGRESS,5,246,2025-02-08 00:57:14,2025-03-06 00:57:14,2025-03-26 00:57:14
37,51,Task 37 for project 51,Implement feature 37 and write tests.,LOW,IN_PROGRESS,2,123,2025-04-10 10:01:39,2025-05-28 10:01:39,
38,60,Task 38 for project 60,Implement feature 38 and write tests.,HIGH,OPEN,8,274,2025-05-09 15:46:22,2025-07-13 15:46:22,2025-06-02 15:46:22
39,64,Task 39 for project 64,Implement feature 39 and write tests.,HIGH,REVIEW,8,239,2024-10-19 04:52:48,2024-12-18 04:52:48,
40,98,Task 40 for project 98,Implement feature 40 and write tests.,HIGH,OPEN,3,164,2025-01-08 09:15:37,2025-01-13 09:15:37,2025-02-04 09:15:37
41,73,Task 41 for project 73,Implement feature 41 and write tests.,HIGH,DONE,2,114,2024-11-24 22:53:09,2025-02-06 22:53:09,2024-12-30 22:53:09
42,75,Task 42 for project 75,Implement feature 42 and write tests.,LOW,OPEN,3,214,2025-03-20 21:28:21,2025-04-18 21:28:21,2025-04-11 21:28:21
43,49,Task 43 for project 49,Implement feature 43 and write tests.,HIGH,DONE,1,292,2025-02-10 11:25:44,2025-05-08 11:25:44,2025-03-24 11:25:44
44,44,Task 44 for project 44,Implement feature 44 and write tests.,MEDIUM,BLOCKED,2,132,2025-08-18 03:14:48,2025-09-27 14:41:22,
45,95,Task 45 for project 95,Implement feature 45 and write tests.,MEDIUM,OPEN,8,252,2025-07-27 13:09:52,2025-09-10 13:09:52,2025-09-16 13:09:52
46,22,Task 46 for project 22,Implement feature 46 and write tests.,MEDIUM,IN_PROGRESS,5,72,2025-08-17 21:33:55,2025-09-27 14:41:22,2025-10-13 21:33:55
47,83,Task 47 for project 83,Implement feature 47 and write tests.,CRITICAL,IN_PROGRESS,13,31,2025-09-14 13:43:16,2025-09-23 13:43:16,2025-11-08 13:43:16
48,86,Task 48 for project 86,Implement feature 48 and write tests.,MEDIUM,IN_PROGRESS,2,25,2024-08-08 13:41:33,2024-10-27 13:41:33,2024-10-01 13:41:33
49,30,Task 49 for project 30,Implement feature 49 and write tests.,LOW,IN_PROGRESS,5,35,2024-11-28 22:05:10,2025-01-25 22:05:10,2024-12-31 22:05:10
50,48,Task 50 for project 48,Implement feature 0 and write tests.,LOW,BLOCKED,2,31,2025-08-13 22:16:03,2025-08-13 22:16:03,2025-08-15 22:16:03
51,69,Task 51 for project 69,Implement feature 1 and write tests.,LOW,DONE,1,283,2025-06-19 02:35:42,2025-07-24 02:35:42,2025-07-23 02:35:42
52,69,Task 52 for project 69,Implement feature 2 and write tests.,CRITICAL,IN_PROGRESS,2,147,2024-08-16 22:15:02,2024-11-10 22:15:02,2024-09-30 22:15:02
53,56,Task 53 for project 56,Implement feature 3 and write tests.,HIGH,REVIEW,2,92,2024-10-25 17:37:12,2024-12-31 17:37:12,
54,20,Task 54 for project 20,Implement feature 4 and write tests.,MEDIUM,DONE,5,124,2024-12-30 16:33:44,2025-02-13 16:33:44,2025-01-16 16:33:44
55,35,Task 55 for project 35,Implement feature 5 and write tests.,MEDIUM,REVIEW,1,204,2024-10-03 23:42:53,2024-11-30 23:42:53,2024-10-29 23:42:53
56,73,Task 56 for project 73,Implement feature 6 and write tests.,MEDIUM,DONE,2,125,2025-01-26 00:58:25,2025-02-05 00:58:25,2025-03-20 00:58:25
57,84,Task 57 for project 84,Implement feature 7 and write tests.,MEDIUM,OPEN,5,17,2024-10-15 05:39:54,2024-12-24 05:39:54,2024-11-09 05:39:54
58,61,Task 58 for project 61,Implement feature 8 and write tests.,MEDIUM,OPEN,2,29,2024-08-10 22:51:12,2024-08-20 22:51:12,
59,64,Task 59 for project 64,Implement feature 9 and write tests.,LOW,REVIEW,5,223,2025-04-17 22:01:16,2025-04-29 22:01:16,2025-06-11 22:01:16
60,68,Task 60 for project 68,Implement feature 10 and write tests.,HIGH,IN_PROGRESS,1,22,2025-01-29 01:50:50,2025-04-27 01:50:50,2025-03-26 01:50:50
61,73,Task 61 for project 73,Implement feature 11 and write tests.,LOW,IN_PROGRESS,8,244,2025-03-02 04:16:03,2025-05-28 04:16:03,2025-03-07 04:16:03
62,36,Task 62 for project 36,Implement feature 12 and write tests.,MEDIUM,DONE,5,279,2024-08-29 04:01:23,2024-10-08 04:01:23,2024-10-23 04:01:23
63,3,Task 63 for project 3,Implement feature 13 and write tests.,MEDIUM,DONE,3,107,2024-11-23 14:36:53,2025-01-12 14:36:53,
64,10,Task 64 for project 10,Implement feature 14 and write tests.,LOW,IN_PROGRESS,8,154,2024-12-07 18:58:53,2025-01-25 18:58:53,2025-01-13 18:58:53
65,87,Task 65 for project 87,Implement feature 15 and write tests.,MEDIUM,DONE,2,277,2025-04-18 06:34:54,2025-05-05 06:34:54,2025-06-05 06:34:54
66,89,Task 66 for project 89,Implement feature 16 and write tests.,HIGH,IN_PROGRESS,8,41,2025-08-27 14:08:41,2025-09-27 14:41:22,
67,7,Task 67 for project 7,Implement feature 17 and write tests.,HIGH,DONE,5,51,2025-07-09 02:36:18,2025-08-21 02:36:18,2025-07-14 02:36:18
68,78,Task 68 for project 78,Implement feature 18 and write tests.,LOW,OPEN,8,204,2025-04-14 02:47:28,2025-06-10 02:47:28,2025-05-02 02:47:28
69,63,Task 69 for project 63,Implement feature 19 and write tests.,LOW,REVIEW,1,117,2025-05-06 23:29:27,2025-06-30 23:29:27,2025-05-31 23:29:27
70,24,Task 70 for project 24,Implement feature 20 and write tests.,LOW,REVIEW,2,300,2025-05-25 19:45:30,2025-07-01 19:45:30,2025-07-04 19:45:30
71,32,Task 71 for project 32,Implement feature 21 and write tests.,MEDIUM,BLOCKED,5,38,2024-10-06 07:59:19,2024-12-26 07:59:19,2024-10-31 07:59:19
72,20,Task 72 for project 20,Implement feature 22 and write tests.,HIGH,IN_PROGRESS,2,200,2025-04-06 13:59:58,2025-04-06 13:59:58,2025-04-12 13:59:58
73,40,Task 73 for project 40,Implement feature 23 and write tests.,HIGH,IN_PROGRESS,5,228,2025-05-10 04:02:16,2025-05-23 04:02:16,
74,17,Task 74 for project 17,Implement feature 24 and write tests.,MEDIUM,DONE,3,45,2024-12-27 03:55:31,2025-03-08 03:55:31,2025-02-01 03:55:31
75,66,Task 75 for project 66,Implement feature 25 and write tests.,MEDIUM,OPEN,2,209,2024-10-22 20:12:33,2024-12-31 20:12:33,2024-11-14 20:12:33
76,12,Task 76 for project 12,Implement feature 26 and write tests.,CRITICAL,IN_PROGRESS,3,167,2025-05-29 20:02:41,2025-07-17 20:02:41,2025-06-25 20:02:41
77,100,Task 77 for project 100,Implement feature 27 and write tests.,MEDIUM,DONE,5,44,2025-02-08 03:44:16,2025-05-06 03:44:16,2025-02-19 03:44:16
78,49,Task 78 for project 49,Implement feature 28 and write tests.,MEDIUM,BLOCKED,3,87,2024-11-19 10:51:20,2025-01-21 10:51:20,2024-12-07 10:51:20
79,19,Task 79 for project 19,Implement feature 29 and write tests.,HIGH,OPEN,2,33,2024-12-11 11:39:40,2025-01-18 11:39:40,2025-01-07 11:39:40
80,62,Task 80 for project 62,Implement feature 30 and write tests.,MEDIUM,OPEN,2,40,2025-05-11 02:32:44,2025-07-30 02:32:44,2025-05-27 02:32:44
81,64,Task 81 for project 64,Implement feature 31 and write tests.,CRITICAL,DONE,8,101,2025-07-25 05:50:56,2025-07-25 05:50:56,2025-08-14 05:50:56
82,51,Task 82 for project 51,Implement feature 32 and write tests.,LOW,IN_PROGRESS,8,171,2025-05-25 16:21:05,2025-07-06 16:21:05,
83,57,Task 83 for project 57,Implement feature 33 and write tests.,CRITICAL,IN_PROGRESS,13,172,2025-07-04 01:57:27,2025-09-25 01:57:27,
84,77,Task 84 for project 77,Implement feature 34 and write tests.,MEDIUM,DONE,3,70,2025-03-24 23:12:32,2025-04-18 23:12:32,2025-05-08 23:12:32
85,62,Task 85 for project 62,Implement feature 35 and write tests.,MEDIUM,DONE,2,161,2024-12-19 14:05:17,2025-01-28 14:05:17,
86,38,Task 86 for project 38,Implement feature 36 and write tests.,HIGH,BLOCKED,5,252,2025-02-07 21:48:21,2025-03-29 21:48:21,2025-02-25 21:48:21
87,47,Task 87 for project 47,Implement feature 37 and write tests.,LOW,REVIEW,5,59,2025-01-05 19:13:56,2025-01-28 19:13:56,2025-02-09 19:13:56
88,88,Task 88 for project 88,Implement feature 38 and write tests.,LOW,CANCELLED,3,282,2024-08-24 12:26:31,2024-10-22 12:26:31,
89,91,Task 89 for project 91,Implement feature 39 and write tests.,HIGH,DONE,5,108,2025-07-10 04:04:55,2025-09-27 14:41:22,
90,9,Task 90 for project 9,Implement feature 40 and write tests.,MEDIUM,DONE,2,210,2025-08-26 10:22:33,2025-09-25 10:22:33,2025-09-15 10:22:33
91,33,Task 91 for project 33,Implement feature 41 and write tests.,HIGH,DONE,8,79,2025-06-28 06:21:58,2025-07-07 06:21:58,
92,58,Task 92 for project 58,Implement feature 42 and write tests.,MEDIUM,DONE,3,246,2025-06-10 22:14:16,2025-09-06 22:14:16,2025-08-09 22:14:16
93,54,Task 93 for project 54,Implement feature 43 and write tests.,MEDIUM,DONE,5,279,2024-09-01 04:02:30,2024-10-17 04:02:30,
94,90,Task 94 for project 90,Implement feature 44 and write tests.,HIGH,DONE,2,275,2024-10-08 14:52:03,2024-12-31 14:52:03,2024-10-24 14:52:03
95,86,Task 95 for project 86,Implement feature 45 and write tests.,LOW,IN_PROGRESS,3,182,2024-12-10 19:27:49,2025-02-20 19:27:49,2024-12-13 19:27:49
96,83,Task 96 for project 83,Implement feature 46 and write tests.,MEDIUM,OPEN,3,205,2025-04-18 04:05:59,2025-06-12 04:05:59,
97,14,Task 97 for project 14,Implement feature 47 and write tests.,MEDIUM,IN_PROGRESS,1,6,2024-10-19 04:50:56,2024-12-24 04:50:56,2024-11-21 04:50:56
98,72,Task 98 for project 72,Implement feature 48 and write tests.,HIGH,OPEN,3,298,2025-01-22 07:01:10,2025-03-22 07:01:10,2025-02-17 07:01:10
99,99,Task 99 for project 99,Implement feature 49 and write tests.,MEDIUM,OPEN,5,257,2024-11-28 16:46:43,2025-01-28 16:46:43,2024-11-30 16:46:43
100,14,Task 100 for project 14,Implement feature 0 and write tests.,MEDIUM,OPEN,1,152,2025-06-22 17:02:00,2025-07-02 17:02:00,
101,15,Task 101 for project 15,Implement feature 1 and write tests.,MEDIUM,OPEN,3,73,2025-05-01 04:00:22,2025-05-27 04:00:22,2025-05-31 04:00:22
102,67,Task 102 for project 67,Implement feature 2 and write tests.,HIGH,REVIEW,13,248,2025-05-01 03:28:39,2025-07-29 03:28:39,2025-05-30 03:28:39
103,58,Task 103 for project 58,Implement feature 3 and write tests.,MEDIUM,BLOCKED,5,164,2024-09-24 18:54:35,2024-12-23 18:54:35,2024-11-15 18:54:35
104,15,Task 104 for project 15,Implement feature 4 and write tests.,MEDIUM,IN_PROGRESS,1,12,2025-04-27 02:07:33,2025-05-18 02:07:33,2025-06-10 02:07:33
105,95,Task 105 for project 95,Implement feature 5 and write tests.,CRITICAL,OPEN,8,125,2025-09-08 09:30:46,2025-09-27 14:41:22,2025-09-19 09:30:46
106,72,Task 106 for project 72,Implement feature 6 and write tests.,MEDIUM,REVIEW,2,219,2025-07-28 12:00:11,2025-09-27 14:41:22,2025-08-23 12:00:11
107,24,Task 107 for project 24,Implement feature 7 and write tests.,MEDIUM,OPEN,3,96,2025-07-05 06:15:34,2025-09-21 06:15:34,2025-08-22 06:15:34
108,26,Task 108 for project 26,Implement feature 8 and write tests.,MEDIUM,DONE,2,231,2025-07-03 06:08:05,2025-07-30 06:08:05,2025-08-18 06:08:05
109,27,Task 109 for project 27,Implement feature 9 and write tests.,HIGH,CANCELLED,3,143,2024-09-21 04:57:44,2024-11-28 04:57:44,2024-11-12 04:57:44
110,24,Task 110 for project 24,Implement feature 10 and write tests.,MEDIUM,REVIEW,2,188,2025-04-13 19:29:19,2025-05-16 19:29:19,2025-04-21 19:29:19
111,86,Task 111 for project 86,Implement feature 11 and write tests.,HIGH,IN_PROGRESS,1,251,2025-09-17 12:00:37,2025-09-27 14:41:22,
112,77,Task 112 for project 77,Implement feature 12 and write tests.,LOW,OPEN,1,199,2025-06-04 12:14:24,2025-07-19 12:14:24,2025-06-27 12:14:24
113,59,Task 113 for project 59,Implement feature 13 and write tests.,HIGH,DONE,3,89,2025-03-22 15:27:46,2025-06-05 15:27:46,
114,11,Task 114 for project 11,Implement feature 14 and write tests.,MEDIUM,OPEN,3,69,2025-04-03 20:53:41,2025-04-17 20:53:41,2025-04-23 20:53:41
115,24,Task 115 for project 24,Implement feature 15 and write tests.,MEDIUM,OPEN,3,192,2024-11-21 09:48:13,2025-02-05 09:48:13,2024-12-18 09:48:13
116,18,Task 116 for project 18,Implement feature 16 and write tests.,MEDIUM,REVIEW,1,295,2025-05-28 15:33:41,2025-08-17 15:33:41,2025-06-29 15:33:41
117,69,Task 117 for project 69,Implement feature 17 and write tests.,MEDIUM,IN_PROGRESS,3,89,2024-12-11 05:17:17,2025-01-03 05:17:17,2024-12-20 05:17:17
118,41,Task 118 for project 41,Implement feature 18 and write tests.,MEDIUM,DONE,2,231,2024-09-14 06:04:32,2024-09-15 06:04:32,
119,63,Task 119 for project 63,Implement feature 19 and write tests.,MEDIUM,OPEN,1,70,2025-01-02 04:08:53,2025-03-14 04:08:53,
120,65,Task 120 for project 65,Implement feature 20 and write tests.,HIGH,REVIEW,3,254,2025-06-17 09:30:23,2025-09-15 09:30:23,2025-07-14 09:30:23
121,57,Task 121 for project 57,Implement feature 21 and write tests.,MEDIUM,IN_PROGRESS,3,251,2024-12-11 12:31:13,2025-01-08 12:31:13,2024-12-13 12:31:13
122,38,Task 122 for project 38,Implement feature 22 and write tests.,HIGH,BLOCKED,3,17,2025-03-05 02:19:09,2025-03-26 02:19:09,2025-03-24 02:19:09
123,100,Task 123 for project 100,Implement feature 23 and write tests.,HIGH,CANCELLED,2,235,2025-08-23 07:59:57,2025-09-27 14:41:22,2025-08-31 07:59:57
124,15,Task 124 for project 15,Implement feature 24 and write tests.,LOW,OPEN,1,138,2025-05-15 13:29:18,2025-05-20 13:29:18,2025-07-03 13:29:18
125,98,Task 125 for project 98,Implement feature 25 and write tests.,MEDIUM,OPEN,1,226,2025-01-20 08:36:22,2025-02-02 08:36:22,
126,95,Task 126 for project 95,Implement feature 26 and write tests.,HIGH,IN_PROGRESS,1,127,2025-03-22 20:23:10,2025-03-26 20:23:10,
127,58,Task 127 for project 58,Implement feature 27 and write tests.,MEDIUM,DONE,1,135,2025-05-01 08:38:06,2025-05-12 08:38:06,
128,57,Task 128 for project 57,Implement feature 28 and write tests.,MEDIUM,REVIEW,8,61,2025-02-03 15:41:02,2025-04-19 15:41:02,2025-03-23 15:41:02
129,89,Task 129 for project 89,Implement feature 29 and write tests.,HIGH,DONE,2,180,2025-07-02 04:18:07,2025-07-28 04:18:07,2025-07-11 04:18:07
130,27,Task 130 for project 27,Implement feature 30 and write tests.,HIGH,OPEN,8,31,2025-05-03 02:21:50,2025-07-10 02:21:50,2025-06-11 02:21:50
131,22,Task 131 for project 22,Implement feature 31 and write tests.,MEDIUM,CANCELLED,3,166,2025-03-18 21:47:44,2025-05-22 21:47:44,2025-04-05 21:47:44
132,87,Task 132 for project 87,Implement feature 32 and write tests.,MEDIUM,DONE,8,49,2024-11-16 22:14:59,2025-01-07 22:14:59,
133,8,Task 133 for project 8,Implement feature 33 and write tests.,MEDIUM,DONE,5,142,2024-11-10 04:03:22,2024-11-26 04:03:22,
134,32,Task 134 for project 32,Implement feature 34 and write tests.,LOW,DONE,8,75,2025-04-10 19:00:26,2025-07-05 19:00:26,
135,51,Task 135 for project 51,Implement feature 35 and write tests.,HIGH,BLOCKED,2,251,2024-11-22 00:57:38,2025-02-10 00:57:38,2024-12-10 00:57:38
136,54,Task 136 for project 54,Implement feature 36 and write tests.,MEDIUM,DONE,1,193,2025-07-20 16:25:33,2025-07-31 16:25:33,2025-09-09 16:25:33
137,52,Task 137 for project 52,Implement feature 37 and write tests.,LOW,DONE,2,264,2025-03-07 17:11:31,2025-04-23 17:11:31,2025-05-03 17:11:31
138,59,Task 138 for project 59,Implement feature 38 and write tests.,CRITICAL,CANCELLED,3,250,2025-04-14 19:48:13,2025-04-25 19:48:13,2025-06-09 19:48:13
139,94,Task 139 for project 94,Implement feature 39 and write tests.,MEDIUM,REVIEW,2,235,2025-05-08 20:26:42,2025-07-15 20:26:42,
140,51,Task 140 for project 51,Implement feature 40 and write tests.,MEDIUM,IN_PROGRESS,5,112,2025-07-03 07:49:02,2025-09-04 07:49:02,
141,35,Task 141 for project 35,Implement feature 41 and write tests.,HIGH,DONE,1,166,2025-03-11 21:14:51,2025-03-27 21:14:51,2025-04-17 21:14:51
142,73,Task 142 for project 73,Implement feature 42 and write tests.,LOW,IN_PROGRESS,3,249,2025-04-27 14:27:37,2025-05-03 14:27:37,
143,6,Task 143 for project 6,Implement feature 43 and write tests.,HIGH,IN_PROGRESS,3,51,2025-07-26 13:54:52,2025-08-15 13:54:52,2025-09-24 13:54:52
144,57,Task 144 for project 57,Implement feature 44 and write tests.,LOW,OPEN,5,234,2024-08-04 03:17:22,2024-09-27 03:17:22,
145,26,Task 145 for project 26,Implement feature 45 and write tests.,LOW,REVIEW,1,68,2025-03-26 01:52:13,2025-04-30 01:52:13,2025-05-25 01:52:13
146,12,Task 146 for project 12,Implement feature 46 and write tests.,LOW,DONE,8,185,2025-02-14 02:17:02,2025-05-08 02:17:02,2025-03-29 02:17:02
147,22,Task 147 for project 22,Implement feature 47 and write tests.,LOW,DONE,1,27,2025-06-07 11:01:54,2025-09-04 11:01:54,2025-07-24 11:01:54
148,97,Task 148 for project 97,Implement feature 48 and write tests.,MEDIUM,CANCELLED,3,120,2025-07-03 00:08:02,2025-07-15 00:08:02,2025-08-18 00:08:02
149,1,Task 149 for project 1,Implement feature 49 and write tests.,HIGH,DONE,13,110,2025-08-08 23:00:38,2025-09-05 23:00:38,2025-09-15 23:00:38
150,67,Task 150 for project 67,Implement feature 0 and write tests.,MEDIUM,DONE,1,228,2024-08-10 19:48:38,2024-08-25 19:48:38,2024-09-01 19:48:38
151,55,Task 151 for project 55,Implement feature 1 and write tests.,MEDIUM,DONE,3,68,2025-08-09 15:40:02,2025-08-20 15:40:02,2025-09-03 15:40:02
152,94,Task 152 for project 94,Implement feature 2 and write tests.,LOW,DONE,3,53,2024-10-22 18:30:19,2024-11-29 18:30:19,2024-12-18 18:30:19
153,18,Task 153 for project 18,Implement feature 3 and write tests.,MEDIUM,OPEN,1,196,2024-11-15 00:42:54,2024-12-03 00:42:54,2024-12-29 00:42:54
154,9,Task 154 for project 9,Implement feature 4 and write tests.,LOW,OPEN,5,272,2024-08-10 04:40:12,2024-10-05 04:40:12,2024-08-21 04:40:12
155,45,Task 155 for project 45,Implement feature 5 and write tests.,MEDIUM,DONE,13,110,2024-11-29 04:30:27,2025-02-15 04:30:27,
156,88,Task 156 for project 88,Implement feature 6 and write tests.,MEDIUM,IN_PROGRESS,8,227,2025-01-19 08:25:25,2025-02-05 08:25:25,2025-01-26 08:25:25
157,97,Task 157 for project 97,Implement feature 7 and write tests.,CRITICAL,IN_PROGRESS,1,64,2025-05-28 21:33:47,2025-07-07 21:33:47,2025-06-25 21:33:47
158,18,Task 158 for project 18,Implement feature 8 and write tests.,LOW,CANCELLED,8,127,2025-03-06 17:44:26,2025-05-15 17:44:26,2025-03-22 17:44:26
159,77,Task 159 for project 77,Implement feature 9 and write tests.,CRITICAL,BLOCKED,1,146,2024-08-24 10:43:57,2024-11-16 10:43:57,
160,39,Task 160 for project 39,Implement feature 10 and write tests.,CRITICAL,BLOCKED,3,106,2025-09-09 18:13:57,2025-09-27 14:41:22,2025-09-22 18:13:57
161,38,Task 161 for project 38,Implement feature 11 and write tests.,MEDIUM,REVIEW,3,28,2025-02-05 12:19:49,2025-03-07 12:19:49,2025-02-13 12:19:49
162,64,Task 162 for project 64,Implement feature 12 and write tests.,MEDIUM,REVIEW,8,37,2025-09-17 22:39:48,2025-09-18 22:39:48,
163,47,Task 163 for project 47,Implement feature 13 and write tests.,MEDIUM,OPEN,13,163,2024-11-14 03:01:43,2025-01-25 03:01:43,2025-01-07 03:01:43
164,54,Task 164 for project 54,Implement feature 14 and write tests.,MEDIUM,DONE,5,188,2024-12-15 19:21:41,2024-12-24 19:21:41,
165,3,Task 165 for project 3,Implement feature 15 and write tests.,LOW,IN_PROGRESS,3,35,2024-08-14 07:49:03,2024-08-21 07:49:03,2024-08-17 07:49:03
166,51,Task 166 for project 51,Implement feature 16 and write tests.,MEDIUM,IN_PROGRESS,1,260,2025-03-14 03:12:32,2025-05-06 03:12:32,2025-04-16 03:12:32
167,55,Task 167 for project 55,Implement feature 17 and write tests.,CRITICAL,CANCELLED,5,206,2024-10-06 15:15:18,2024-12-23 15:15:18,2024-11-10 15:15:18
168,20,Task 168 for project 20,Implement feature 18 and write tests.,MEDIUM,BLOCKED,8,143,2024-10-07 13:03:06,2024-11-02 13:03:06,2024-11-09 13:03:06
169,20,Task 169 for project 20,Implement feature 19 and write tests.,LOW,REVIEW,8,275,2025-04-14 09:45:23,2025-07-06 09:45:23,2025-05-25 09:45:23
170,88,Task 170 for project 88,Implement feature 20 and write tests.,HIGH,DONE,5,34,2025-04-01 12:40:04,2025-05-01 12:40:04,2025-05-18 12:40:04
171,8,Task 171 for project 8,Implement feature 21 and write tests.,MEDIUM,REVIEW,8,126,2024-10-09 13:48:44,2024-10-23 13:48:44,
172,59,Task 172 for project 59,Implement feature 22 and write tests.,LOW,DONE,1,29,2025-03-31 20:16:26,2025-04-22 20:16:26,2025-05-13 20:16:26
173,16,Task 173 for project 16,Implement feature 23 and write tests.,HIGH,IN_PROGRESS,13,7,2024-11-18 04:30:09,2024-12-08 04:30:09,
174,64,Task 174 for project 64,Implement feature 24 and write tests.,MEDIUM,OPEN,3,178,2025-09-13 20:12:57,2025-09-27 14:41:22,2025-11-05 20:12:57
